0;0;1;2
2,161905;0,4;0,3333333;1,428571
1,694445;0,3333333;0,25;1,111111
1,480519;0,2857143;0,2857143;0,9090909
1,502564;0,3333333;0,4;0,7692308
1,333333;0,3333333;0,3333333;0,6666667
1,238235;0,4;0,25;0,5882353
1,145363;0,3333333;0,2857143;0,5263158
1,031746;0,3333333;0,2222222;0,4761905
1,057005;0,4;0,2222222;0,4347826
1,133333;0,4;0,3333333;0,4
1,27037;0,4;0,5;0,3703704
1,714286;0,2857143;1,428571;0
1,844445;0,3333333;1,111111;0,4
1,575758;0,3333333;0,9090909;0,3333333
1,454945;0,2857143;0,7692308;0,4
1,466667;0,4;0,6666667;0,4
1,321569;0,4;0,5882353;0,3333333
1,326316;0,4;0,5263158;0,4
1,376191;0,5;0,4761905;0,4
1,928571;1,428571;0;0,5
1,944445;1,111111;0,3333333;0,5
1,809091;0,9090909;0,4;0,5
1,669231;0,7692308;0,4;0,5
1,466667;0,6666667;0,4;0,4
1,321569;0,5882353;0,4;0,3333333
1,259649;0,5263158;0,4;0,3333333
1,161905;0,4761905;0,4;0,2857143
1,101449;0,4347826;0,3333333;0,3333333
1,066667;0,4;0,3333333;0,3333333
1,322751;0,3703704;0,6666667;0,2857143
1,761905;0;1,428571;0,3333333
1,944445;0,5;1,111111;0,3333333
1,642424;0,4;0,9090909;0,3333333
1,454945;0,4;0,7692308;0,2857143
1,5;0,5;0,6666667;0,3333333
1,388235;0,4;0,5882353;0,4
1,326316;0,4;0,5263158;0,4
1,376191;0,4;0,4761905;0,5
2,095238;0,6666667;0;1,428571
2,277778;0,5;0,6666667;1,111111
2,075758;0,5;0,6666667;0,9090909
2,269231;0,5;1;0,7692308
2,095238;0,6666667;1,428571;0
2,277778;0,6666667;1,111111;0,5
1,975757;0,6666667;0,9090909;0,4
2,169231;1;0,7692308;0,4
1,928571;1,428571;0;0,5
2,277778;1,111111;0,5;0,6666667
1,709091;0,9090909;0,4;0,4
1,669231;0,7692308;0,4;0,5
2,166667;0,6666667;1;0,5
1,761905;0;1,428571;0,3333333
